,Title,Published_date,Views,Likes,Favorite,Comments,Month
181,Alakh sir SECRET Suggestion🤫,2022-04-28,1754340,185943,0,362,Apr
182,THE SOLID STATE in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-27,177649,7104,0,380,Apr
183,Apni Pareshaniyon ko Batado ki Tumhare Hausle kitne Bade Hai,2022-04-27,69986,10592,0,86,Apr
184,CAPACITANCE in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-26,98134,3742,0,205,Apr
185,Reality of LUCK,2022-04-26,220621,30231,0,77,Apr
186,PERMUTATIONS AND COMBINATIONS in 1 Shot (PART - 1) | From Zero to Hero | JEE Mains & Advanced,2022-04-25,87663,4166,0,394,Apr
187,Sab kuch Virasat mein Nahi Milta,2022-04-25,350059,55112,0,168,Apr
188,We'll Fight till end,2022-04-24,106536,14044,0,144,Apr
189,"JEE 2022: 60 Days Master Plan, Just For You ! 🙌🏻",2022-04-23,55447,3542,0,176,Apr
190,Abhi to Jamkar Padho Ekdum,2022-04-23,123197,17204,0,79,Apr
191,Tumhe GIVE-UP Nahi karna hai,2022-04-22,317558,36022,0,137,Apr
192,EQUILIBRIUM in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-22,136721,5184,0,370,Apr
193,Wo hamare kisi kaam ke nahi hote !!!,2022-04-21,188624,23754,0,187,Apr
194,UNITS AND MEASUREMENTS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-20,138437,5239,0,183,Apr
195,BINOMIAL THEOREM in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-19,140451,5950,0,474,Apr
196,STATES OF MATTER in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-18,95875,4120,0,172,Apr
197,MOVING CHARGE AND MAGNETISM in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-17,208606,10109,0,301,Apr
198,You have 2 Months to Crack JEE !!! JEE Crash Course (PURE ENGLISH) || ₹1800 for Full Course,2022-04-16,29185,1337,0,305,Apr
199,HYPERBOLA in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-15,58207,2801,0,97,Apr
200,CLASSIFICATION OF ELEMENTS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-14,110199,4511,0,215,Apr
201,CURRENT ELECTRICITY in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-13,176792,6256,0,420,Apr
202,JEE Main POSTPONED !! How to Crack JEE Main in 2 Months? LAST CHANCE ⚡,2022-04-09,279773,19052,0,2037,Apr
203,Class 12th | Lakshya JEE 2023 : Solutions 01⚡,2022-04-07,319182,20680,0,1235,Apr
204,Class 12th | Lakshya JEE 2023 : Relations & Functions 01⚡,2022-04-07,387071,29336,0,1144,Apr
205,Now You Have *MORE TIME* For JEE Main 2022📣 | Physics Wallah #Shorts,2022-04-07,76644,8092,0,288,Apr
206,SOLUTIONS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-06,144736,5596,0,327,Apr
207,ELECTROSTATICS in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-05,351055,11012,0,569,Apr
208,MODERN PHYSICS : Complete Revision in 55 Minutes | Score 90+ in JEE Main Physics,2022-04-05,82114,4677,0,740,Apr
209,PROBABILITY in 1 Shot | From Zero to Hero | JEE Main & Advanced,2022-04-04,359060,14276,0,571,Apr
210,COORDINATION COMPOUND in 1 Shot (PART - 2) | From Zero to Hero | JEE Main & Advanced,2022-04-04,50805,2350,0,91,Apr
211,COORDINATION COMPOUND in 1 Shot (PART - 1) | From Zero to Hero | JEE Mains & Advanced,2022-04-03,147457,6281,0,213,Apr
212,ELLIPSE in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-03,46465,1771,0,162,Apr
213,KTG & THERMODYNAMICS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-02,170114,6105,0,401,Apr
214,THERMODYNAMICS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-04-02,61491,1895,0,138,Apr
215,THERMODYNAMICS in 1 Shot (PART - 2) | From Zero to Hero | JEE Mains & Advanced,2022-03-31,133470,5909,0,223,Mar
216,THERMODYNAMICS in 1 Shot (PART - 1) | From Zero to Hero | JEE Mains & Advanced,2022-03-31,141606,8149,0,238,Mar
217,Introducing Another Chemistry Legend !!! Check Description 💥,2022-03-31,110122,7514,0,507,Mar
218,MODERN PHYSICS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-03-30,623826,22829,0,802,Mar
219,Bass Shaam Tak Ka Intezaar Karo !!! Check Description 🔥,2022-03-30,117617,7852,0,1046,Mar
220,PARABOLA in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-03-29,123738,5364,0,272,Mar
221,General Organic Chemistry (GOC) in One Shot (PART - 2) From Zero to Hero | JEE Mains & Advanced,2022-03-29,190686,7601,0,401,Mar
222,General Organic Chemistry (GOC) in 1 Shot (PART - 1) From Zero to Hero | JEE Mains & Advanced,2022-03-28,481481,18954,0,651,Mar
223,RAY OPTICS in 1 Shot | From Zero to Hero | JEE Mains & Advanced,2022-03-27,307116,11070,0,483,Mar
